Text,Compound,Positive,Negative,Neutral,sentiment
nice rate,0.4215,0.737,0.0,0.263,positive
great joss loss trip,0.4215,0.488,0.274,0.238,positive
really good,0.4927,0.762,0.0,0.238,positive
"toro waterfall on the edge of the main road access there is easy, fast, go straight down the waterfall by the beach, the atmosphere is comfortable, cold",0.7964,0.252,0.0,0.748,positive
toro waterfall one madura waterfall the source of natural spring water goes straight down to the sea the location of the waterfall is east ketapang village ketapang sub-district head sampang madura district roadside location easy for tourists to visit,0.743,0.169,0.0,0.831,positive
several years ago first visited place was bagus everything made nature but today saw huge improvements that makes even better even cafe well done sampang,0.9081,0.371,0.0,0.629,positive
nice waterfall with a nice beach fast waterfall with low tide,0.5423,0.357,0.134,0.51,positive
beautiful before sunset,0.5994,0.661,0.0,0.339,positive
"good view, able to go up and down the stairs, really explore the location of the north Madura route, it's a very quiet place",0.4404,0.112,0.0,0.888,positive
solid,0.1531,1.0,0.0,0.0,positive
"Looking at nature, it's good, it's cheap, it's a very festive Madura holiday",0.8464,0.478,0.0,0.522,positive
nice pre-wedding photos,0.4215,0.583,0.0,0.417,positive
nice waterfall already got there,0.4215,0.412,0.0,0.588,positive
beautiful view,0.5994,0.796,0.0,0.204,positive
amazed,0.4939,1.0,0.0,0.0,positive
reach,0.0258,1.0,0.0,0.0,positive
easy to reach beautiful location,0.7845,0.798,0.0,0.202,positive
hidden place worth quiet from crowds though accessible any vehicles that special,0.5574,0.315,0.0,0.685,positive
"a comfortable place to eat, quite a serving menu, seaside view of eating dishes",0.5106,0.202,0.0,0.798,positive
care,0.4939,1.0,0.0,0.0,positive
nice cool cold,0.6249,0.836,0.0,0.164,positive
beautiful nice,0.7717,1.0,0.0,0.0,positive
Good,0.4404,1.0,0.0,0.0,positive
nice waterfall with a nice beach fast waterfall with low tide,0.5423,0.357,0.134,0.51,positive
"beautiful, suitable for relaxing, waterfalls by the beautiful beach ahead of the southern afternoon, the afternoon sun beach just west",0.9001,0.393,0.0,0.607,positive
amazed view of the waterfall falling on the beach,0.3818,0.271,0.136,0.593,positive
"it's pretty refreshing, the spots are draining",0.4939,0.348,0.0,0.652,positive
beautiful before sunset,0.5994,0.661,0.0,0.339,positive
"Already bored, must visit a beautiful viewing place",0.4215,0.325,0.175,0.5,positive
happy,0.5719,1.0,0.0,0.0,positive
"waterfall tourist destination directly to the sea, the location of attraction, really love recommendations",0.8173,0.384,0.0,0.616,positive
pretty cool,0.6705,1.0,0.0,0.0,positive
"The northern route of Madura Island, a waterfall forms an irrigation canal for rice fields. The residents suggest playing water, waterfalls, waterfalls before sunset",0.2023,0.073,0.0,0.927,positive
solid,0.1531,1.0,0.0,0.0,positive
"on the madura visit list, it's rare, waterfalls go directly to the sea, nice to enjoy the afternoon, enjoy the sunset, put your visiting list madura rare",0.8481,0.277,0.0,0.723,positive
covering toro waterfalls wrong waterfalls beautiful madura unique waterfalls straight flowing north sea java sunset beach identical toro sand,0.4019,0.233,0.124,0.643,positive
nice road to take care of the facilities for the photo venue for the bridge for the background for the washing bath,0.7184,0.231,0.0,0.769,positive
good recom,0.4404,0.744,0.0,0.256,positive
"it's worth trying to go natural, enter information on water tasks in the dry season like waterfall discharge",0.7096,0.315,0.0,0.685,positive
"a comfortable place to eat, quite a serving menu, seaside view of eating dishes",0.5106,0.202,0.0,0.798,positive
"relaxed, family, relatives, beautiful natural nuances of Padang",0.8625,0.658,0.0,0.342,positive
silence environment really quite beautiful fresh air,0.8081,0.594,0.0,0.406,positive
look good and taste cool,0.6369,0.634,0.0,0.366,positive
nice waterfall with a nice beach fast waterfall with low tide,0.5423,0.357,0.134,0.51,positive
"okay waterfall view, access to the main road, okay facilities",0.4215,0.322,0.0,0.678,positive
"blue green water is good, the motorbike is still good",0.7003,0.42,0.0,0.58,positive
really exciting,0.5413,0.777,0.0,0.223,positive
Good,0.4404,1.0,0.0,0.0,positive
"spacious parking lot, it's really good in the evening dusk",0.4927,0.262,0.0,0.738,positive
Good,0.4404,1.0,0.0,0.0,positive
quite beautiful,0.6361,0.807,0.0,0.193,positive
several years ago first visited place was bagus everything made nature but today saw huge improvements that makes even better even cafe well done sampang,0.9081,0.371,0.0,0.629,positive
Good,0.4404,1.0,0.0,0.0,positive
easy access to the impression of love for the hot weather coast,0.8402,0.5,0.0,0.5,positive
calm,0.3182,1.0,0.0,0.0,positive
nice tour north coast of madura,0.4215,0.359,0.0,0.641,positive
pretty beautiful location,0.7964,0.877,0.0,0.123,positive
"wide parking lot, great view",0.6249,0.506,0.0,0.494,positive
cool,0.3182,1.0,0.0,0.0,positive
satisfied tree,0.4215,0.737,0.0,0.263,positive
nice place,0.4215,0.737,0.0,0.263,positive
"natural tourism managed naturally by residents, roadside locations, easy directions, waterfalls, straight to the sea, photos going down the seafront",0.743,0.3,0.0,0.7,positive
"when you visit Madura Island, go around covering the northern coast route exploring tourist attractions exploring Bangkal Sumenep, Juju Island, friends, Javanese flavors",0.7096,0.219,0.0,0.781,positive
good view subject to entry fee,0.4404,0.367,0.0,0.633,positive
beautiful comfortable place just makes you disappointed,0.6249,0.503,0.217,0.28,positive
Good,0.4404,1.0,0.0,0.0,positive
One Madura waterfall is cool looking at a beachside waterfall,0.3182,0.204,0.0,0.796,positive
waterfall playing intact sand dredging the rest of the rock,0.3818,0.31,0.0,0.69,positive
good place to rest for long trips,0.4404,0.326,0.0,0.674,positive
nice spot,0.4215,0.737,0.0,0.263,positive
happy friend there,0.7845,0.873,0.0,0.127,positive
happy friend there,0.7845,0.873,0.0,0.127,positive
"the location on the roadside of the north coast of Madura is easy to reach, the view of the blue sea welcomes the toro waterfall belonging to uni facing directly to the sea the location of the waterfall",0.6908,0.161,0.0,0.839,positive
pretty good,0.7269,1.0,0.0,0.0,positive
beautiful before sunset,0.5994,0.661,0.0,0.339,positive
beautiful cool waterfall,0.7351,0.861,0.0,0.139,positive
love nature suitable after rain please be careful,0.7964,0.618,0.0,0.382,positive
quite one of the favorite destinations for hunting landscape photos on Madura Island,0.4588,0.2,0.0,0.8,positive
Good,0.4404,1.0,0.0,0.0,positive
bagus view waterfall area was main road access easy gratis entrance ticket but for car parking have pay rupiah car access waterfall from parking area not too walking go down around,0.1154,0.093,0.049,0.858,positive
beautiful sunset,0.5994,0.796,0.0,0.204,positive
beautiful waterfalls north madura island tourist attraction photos,0.7845,0.535,0.0,0.465,positive
beautiful from God please take care,0.8885,0.852,0.0,0.148,positive
easy access roadside location,0.4404,0.492,0.0,0.508,positive
beautiful from God please take care,0.8885,0.852,0.0,0.148,positive
pretty good,0.7269,1.0,0.0,0.0,positive
good dear nurse,0.6705,0.846,0.0,0.154,positive
good natural potential maximum management bank Mandiri,0.6597,0.519,0.0,0.481,positive
"the comfortable atmosphere of the city of Sampang takes hours for the wide waterfall, it is recommended by friends in the Sampang area, Maja, take a photo during the day, yes, the standard parking price",0.872,0.26,0.0,0.74,positive
manage cool place friendly tourism,0.6705,0.647,0.0,0.353,positive
It's good to pay for the bag,0.3612,0.312,0.151,0.538,positive
pretty swimming,0.4939,0.762,0.0,0.238,positive
"Toro waterfall is Madura natural tourism, it's nice to touch the hands of professional investors, nice flowers",0.7964,0.367,0.0,0.633,positive
nice waterfall access,0.4215,0.583,0.0,0.417,positive
beautiful waterfall enjoys sunset waterfall,0.802,0.706,0.0,0.294,positive
nice waterfall straight down the sea coast,0.5719,0.485,0.0,0.515,positive
appear pull beautiful pictures if the pictures imagination need,0.5994,0.328,0.0,0.672,positive
"cool, need to clean the area to watch the waterfall, the water grows",0.6124,0.312,0.0,0.688,positive
"great view, really nice, beautiful waterfall directly to the beach",0.9076,0.619,0.0,0.381,positive
beautiful waterfalls north madura island tourist attraction photos,0.7845,0.535,0.0,0.465,positive
"waterfall tourist destination directly to the sea, the location of attraction, really love recommendations",0.8173,0.384,0.0,0.616,positive
solid,0.1531,1.0,0.0,0.0,positive
good dear nurse,0.6705,0.846,0.0,0.154,positive
really good spot photos of nice unique objects,0.7178,0.5,0.0,0.5,positive
beautiful nice,0.7717,1.0,0.0,0.0,positive
satisfied tree,0.4215,0.737,0.0,0.263,positive
restaurant cheap prices heart points waterfall road slippery road rainy season,0.5994,0.29,0.09,0.621,positive
look good and taste cool,0.6369,0.634,0.0,0.366,positive
"good view, clean, pretty good smg level with good facilities, competitive with tourism",0.936,0.7,0.0,0.3,positive
"it is mandatory to support the natural tourist destination of Sampang City, let's play there",0.7845,0.447,0.0,0.553,positive
clear water cool atmosphere,0.5994,0.71,0.0,0.29,positive
"it is mandatory to support the natural tourist destination of Sampang City, let's play there",0.7845,0.447,0.0,0.553,positive
toro waterfall one madura waterfall the source of natural spring water goes straight down to the sea the location of the waterfall is east ketapang village ketapang sub-district head sampang madura district roadside location easy for tourists to visit,0.743,0.169,0.0,0.831,positive
nice place,0.4215,0.737,0.0,0.263,positive
nice waterfall watch wide recreation,0.4215,0.412,0.0,0.588,positive
Good,0.4404,1.0,0.0,0.0,positive
Satisfied parking is expensive,0.4215,0.483,0.0,0.517,positive
waterfall straight sea ocean clean trash nice photo photo,0.7506,0.552,0.0,0.448,positive
toro waterfall one madura waterfall the source of natural spring water goes straight down to the sea the location of the waterfall is east ketapang village ketapang sub-district head sampang madura district roadside location easy for tourists to visit,0.743,0.169,0.0,0.831,positive
good bit,0.4404,0.744,0.0,0.256,positive
splash sea waterfall falls cool water,0.3182,0.315,0.0,0.685,positive
bagus view still natural need more manage,0.3612,0.294,0.0,0.706,positive
nice place waterfall over rest parking area rb enter rb,0.4215,0.237,0.0,0.763,positive
take care,0.4939,0.762,0.0,0.238,positive
nice fresh air,0.6249,0.836,0.0,0.164,positive
really good,0.4927,0.762,0.0,0.238,positive
unique thing waterfall directly poured into sea beach height about meter easy access with lot of visitors during holiday,0.6808,0.248,0.0,0.752,positive
"good at managing the community, hopefully it will be crowded",0.6808,0.412,0.0,0.588,positive
easy to find location,0.4404,0.492,0.0,0.508,positive
Good,0.4404,1.0,0.0,0.0,positive
quite beautiful,0.6361,0.807,0.0,0.193,positive
really good for relaxing sea photo spots,0.7688,0.571,0.0,0.429,positive
view okay dirty take care,0.296,0.51,0.29,0.2,positive
nice view photo straight down the sea,0.5719,0.485,0.0,0.515,positive
cool comfortable happy rides,0.8519,0.903,0.0,0.097,positive
beautiful,0.5994,1.0,0.0,0.0,positive
beautiful view,0.5994,0.796,0.0,0.204,positive
good view subject to entry fee,0.4404,0.367,0.0,0.633,positive
nice view relax,0.6908,0.851,0.0,0.149,positive
quite one of the favorite destinations for hunting landscape photos on Madura Island,0.4588,0.2,0.0,0.8,positive
Good,0.4404,1.0,0.0,0.0,positive
reasonable price good grouper fish,0.4404,0.42,0.0,0.58,positive
Good,0.4404,1.0,0.0,0.0,positive
easy to reach clean comfortable,0.8402,0.909,0.0,0.091,positive
bagus place for hunting photo with wild inspiration,0.5267,0.327,0.0,0.673,positive
beautiful waterfall enjoys sunset waterfall,0.802,0.706,0.0,0.294,positive
"suitable for a coffee break, a beautiful place for selfies",0.5994,0.302,0.0,0.698,positive
cool instagramable,0.3182,0.697,0.0,0.303,positive
"arrived there, looked at the calendar, cool photos, wrong waterfall, water immediately continued to the sea, waw careful swimming, afraid to drag the sea, the tide is really worth it, the water is calm, clear like crystal",0.7574,0.284,0.105,0.611,positive
"it's natural, it's as good as it's exotic, it's comfortable, Santa, the entrance ticket to KRB is the location of the waterfall",0.8271,0.314,0.0,0.686,positive
excellent view sea front,0.5719,0.552,0.0,0.448,positive
"the waterfall flows directly into the sea there, the seaside trash, hopefully the guardian will be blessed",0.765,0.306,0.0,0.694,positive
"Cool tours, really recommendations for visiting ice culinary delights by moving on with your ex's life",0.6486,0.275,0.0,0.725,positive
Madura is cool,0.3182,0.535,0.0,0.465,positive
tired of Indonesian love,0.3182,0.462,0.319,0.22,positive
beautiful waterfalls north madura island tourist attraction photos,0.7845,0.535,0.0,0.465,positive
bagus place visit taking beautiful picture of waterfalls during sunset,0.5994,0.302,0.0,0.698,positive
good place to rest for long trips,0.4404,0.326,0.0,0.674,positive
nice place,0.4215,0.737,0.0,0.263,positive
hidden place worth quiet from crowds though accessible any vehicles that special,0.5574,0.315,0.0,0.685,positive
cool place,0.3182,0.697,0.0,0.303,positive
beautiful panorama suitable for recreation,0.5994,0.494,0.0,0.506,positive
beautiful,0.5994,1.0,0.0,0.0,positive
beautiful seaside waterfall,0.5994,0.661,0.0,0.339,positive
the beautiful natural atmosphere of the sea waterfall,0.7506,0.516,0.0,0.484,positive
"look cool, the food is delicious",0.7184,0.6,0.0,0.4,positive
hypnotic view of nature's beautiful eyes,0.5994,0.438,0.0,0.562,positive
Good,0.4404,1.0,0.0,0.0,positive
beautiful nice,0.7717,1.0,0.0,0.0,positive
pretty beautiful location,0.7964,0.877,0.0,0.123,positive
beautiful beautiful,0.8316,1.0,0.0,0.0,positive
"okay, spot the photo above the waterfall, spot the photo limit",0.2263,0.16,0.0,0.84,positive
touch clean,0.4019,0.73,0.0,0.27,positive
Good,0.4404,1.0,0.0,0.0,positive
place beautiful convenience,0.5994,0.661,0.0,0.339,positive
"it is mandatory to support the natural tourist destination of Sampang City, let's play there",0.7845,0.447,0.0,0.553,positive
"really amazed the waterfall meets the open sea, the clear water spoils the eyes of the tourists present",0.7264,0.276,0.0,0.724,positive
"waterfall, direct sea flow, combined, beautiful sunset",0.5994,0.394,0.0,0.606,positive
unique beautiful,0.5994,0.796,0.0,0.204,positive
beautiful natural atmosphere,0.7506,0.865,0.0,0.135,positive
"proud waterfall, sampang community, ketapang community, location of development",0.4767,0.279,0.0,0.721,positive
"the location is perfect for holidays, good spots, lasting twilight moments, please follow IG, bonus follback",0.9325,0.577,0.0,0.423,positive
nice waterfall straight down the sea coast,0.5719,0.485,0.0,0.515,positive
Good,0.4404,1.0,0.0,0.0,positive
beautiful waterfalls north madura island tourist attraction photos,0.7845,0.535,0.0,0.465,positive
"the view is beautiful, cool, the atmosphere is on the seafront, only the waterfall is in the rainy season",0.7096,0.264,0.055,0.681,positive
nice give good memories forgot,0.6908,0.655,0.0,0.345,positive
cool beautiful place go,0.7351,0.756,0.0,0.244,positive
madura island tourist attraction waterfall thought madura tourist attraction limestone hills madura beach tourist attraction amazed one of the toro waterfalls,0.9042,0.418,0.0,0.582,positive
a waterfall straight down to the sea,0.2263,0.241,0.0,0.759,positive
"It's rare for waterfalls on the beach, I really recommend walking patiently",0.4201,0.202,0.0,0.798,positive
good low cost,0.2023,0.483,0.35,0.167,positive
good recom,0.4404,0.744,0.0,0.256,positive
unique fun,0.5106,0.767,0.0,0.233,positive
Good,0.4404,1.0,0.0,0.0,positive
hypnotic view of nature's beautiful eyes,0.5994,0.438,0.0,0.562,positive
nice pull dear waterfall beach trash,0.6597,0.574,0.0,0.426,positive
"pretty good place, really suitable for long exposure photos, good recommendations in the afternoon",0.8402,0.45,0.0,0.55,positive
waterfall straight sea ocean clean trash nice photo photo,0.7506,0.552,0.0,0.448,positive
love work,0.6369,0.808,0.0,0.192,positive
simple natural exotic,0.3612,0.556,0.0,0.444,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
"easy access to the road, paying for parking, a clean place, good for photos, really cool, near the IG waterfall",0.8777,0.409,0.0,0.591,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
beautiful waterfalls north madura island tourist attraction photos,0.7845,0.535,0.0,0.465,positive
good clear water dry season,0.6705,0.647,0.0,0.353,positive
"really amazed the waterfall meets the open sea, the clear water spoils the eyes of the tourists present",0.7264,0.276,0.0,0.724,positive
take care,0.4939,0.762,0.0,0.238,positive
Good,0.4404,1.0,0.0,0.0,positive
nice scenery,0.4215,0.737,0.0,0.263,positive
good care,0.7269,1.0,0.0,0.0,positive
beautiful strategy,0.5994,0.796,0.0,0.204,positive
great,0.6249,1.0,0.0,0.0,positive
suitable tours like refreshing photos,0.3612,0.385,0.0,0.615,positive
"good view, easy access by the road",0.7003,0.537,0.0,0.463,positive
Good,0.4404,1.0,0.0,0.0,positive
"good place, please spot photo spots, waterfalls, playgrounds, recommendations",0.6369,0.426,0.0,0.574,positive
nice place,0.4215,0.737,0.0,0.263,positive
beautiful waterfall by the sea nice love to take photos,0.8979,0.609,0.0,0.391,positive
It's good to pay for the bag,0.3612,0.312,0.151,0.538,positive
"beautiful toro waterfall, waterfall that falls straight to the sea, beautiful view, delicious, beautiful waterfall, off the sea, good photo spots",0.9648,0.574,0.0,0.426,positive
toro waterfall complete with prayer room facilities toilets food stalls sometimes open sometimes close easy natural tourism highways subject to parking r r spacious parking comfortable,0.8271,0.274,0.0,0.726,positive
"manage the facilities in terms of support, pull and visit when conditions are lazy",0.0516,0.157,0.145,0.698,positive
Good,0.4404,1.0,0.0,0.0,positive
"beautiful, suitable for relaxing, waterfalls by the beautiful beach ahead of the southern afternoon, the afternoon sun beach just west",0.9001,0.393,0.0,0.607,positive
convenient place easy to reach,0.4588,0.571,0.0,0.429,positive
water fresh,0.3182,0.697,0.0,0.303,positive
"suitable for a coffee break, a beautiful place for selfies",0.5994,0.302,0.0,0.698,positive
"super cool, where the waterfall is directly on the open sea, it's free to enter, just pay motorbike parking money",0.8442,0.353,0.052,0.595,positive
nice place,0.4215,0.737,0.0,0.263,positive
good atmosphere,0.4404,0.744,0.0,0.256,positive
amazed the waterfall falls directly into the sea wonderful,0.7845,0.496,0.0,0.504,positive
"really amazed the waterfall meets the open sea, the clear water spoils the eyes of the tourists present",0.7264,0.276,0.0,0.724,positive
good dear nurse,0.6705,0.846,0.0,0.154,positive
good low cost,0.2023,0.483,0.35,0.167,positive
beautiful,0.5994,1.0,0.0,0.0,positive
"simple cool tour, good selfie photos, admission ticket price is only",0.6369,0.366,0.0,0.634,positive
happy,0.5719,1.0,0.0,0.0,positive
"even though the trip is really a place to visit the enchantment of the Toroan waterfall, straight from the sea, the tree of God's grace is so perfect",0.8268,0.258,0.0,0.742,positive
Good,0.4404,1.0,0.0,0.0,positive
beautiful beautiful,0.8316,1.0,0.0,0.0,positive
very natural waterfall by the beach please keep it original dirty trash,0.5413,0.404,0.159,0.437,positive
Madura beautiful waterfall,0.5994,0.661,0.0,0.339,positive
really good clean water,0.7328,0.755,0.0,0.245,positive
solid,0.1531,1.0,0.0,0.0,positive
"Tawan sunset later, the location of the main road is easy to reach, km from the Suramadu Bridge, ready with physical provisions for the road",0.6705,0.228,0.0,0.772,positive
the beautiful natural atmosphere of the sea waterfall,0.7506,0.516,0.0,0.484,positive
Good,0.4404,1.0,0.0,0.0,positive
the beautiful natural atmosphere of the sea waterfall,0.7506,0.516,0.0,0.484,positive
beautiful waterfall right beach with sunset,0.5994,0.438,0.0,0.562,positive
take care,0.4939,0.762,0.0,0.238,positive
"manage the facilities in terms of support, pull and visit when conditions are lazy",0.0516,0.157,0.145,0.698,positive
"Happy holidays, enjoy the beautiful waterfalls",0.9246,0.87,0.0,0.13,positive
waterfall straight sea ocean clean trash nice photo photo,0.7506,0.552,0.0,0.448,positive
beautiful,0.5994,1.0,0.0,0.0,positive
delicious cafe breezy sea breeze,0.5719,0.481,0.0,0.519,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
quite one of the favorite destinations for hunting landscape photos on Madura Island,0.4588,0.2,0.0,0.8,positive
touch clean,0.4019,0.73,0.0,0.27,positive
beautiful,0.5994,1.0,0.0,0.0,positive
"beautiful waterfall, nice view of the sea, just disappointed there",0.5574,0.399,0.185,0.417,positive
beautiful waterfall direct border of the sea,0.5994,0.394,0.0,0.606,positive
beautiful,0.5994,1.0,0.0,0.0,positive
rainy season nice clear water,0.6249,0.621,0.149,0.23,positive
cool culinary entry ticket destinations are really cheap,0.3182,0.247,0.0,0.753,positive
Good,0.4404,1.0,0.0,0.0,positive
"the waterfall is really nice, the water flows straight to the beach, the color of the waterfall makes you don't want to go home, ready to eat, it's really comfortable to look at, to eat, it's good, you can explore Indonesia, it's beautiful",0.949,0.325,0.022,0.653,positive
happy,0.5719,1.0,0.0,0.0,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
easy to find location,0.4404,0.492,0.0,0.508,positive
nice fun rocks sitting playing water photos,0.7845,0.664,0.0,0.336,positive
natural waterfall parking area,0.3612,0.455,0.0,0.545,positive
"easy access to the road, paying for parking, a clean place, good for photos, really cool, near the IG waterfall",0.8777,0.409,0.0,0.591,positive
pretty cool,0.6705,1.0,0.0,0.0,positive
"nice waterfall, good photography, just playing in the water, where the stones are, clear water, cleaning facilities, toilet, small restaurant, ready to take pictures, hang out to eat",0.891,0.354,0.0,0.646,positive
cool comfortable happy rides,0.8519,0.903,0.0,0.097,positive
"look cool, the food is delicious",0.7184,0.6,0.0,0.4,positive
Good,0.4404,1.0,0.0,0.0,positive
solid,0.1531,1.0,0.0,0.0,positive
alhandulillah september dry season clear water clean conditions,0.6486,0.469,0.0,0.531,positive
nice waterfall view,0.4215,0.583,0.0,0.417,positive
the beautiful natural atmosphere of the sea waterfall,0.7506,0.516,0.0,0.484,positive
natural tourism,0.3612,0.714,0.0,0.286,positive
look good and taste cool,0.6369,0.634,0.0,0.366,positive
cool waterfall straight to the Java sea,0.4939,0.457,0.0,0.543,positive
"good place for family holidays, travel recommendations",0.6705,0.524,0.0,0.476,positive
beautiful,0.5994,1.0,0.0,0.0,positive
bagus place for hunting photo with wild inspiration,0.5267,0.327,0.0,0.673,positive
beautiful,0.5994,1.0,0.0,0.0,positive
waterfall straight to the beach amazed cool,0.7506,0.649,0.0,0.351,positive
nice view,0.4215,0.737,0.0,0.263,positive
beautiful,0.5994,1.0,0.0,0.0,positive
beautiful sorry,0.5574,0.75,0.25,0.0,positive
"nice waterfall, good photography, just playing in the water, where the stones are, clear water, cleaning facilities, toilet, small restaurant, ready to take pictures, hang out to eat",0.891,0.354,0.0,0.646,positive
touch clean,0.4019,0.73,0.0,0.27,positive
beautiful cool waterfall,0.7351,0.861,0.0,0.139,positive
the sunset green waterfall is really cool,0.3804,0.302,0.0,0.698,positive
"great view, really nice, beautiful waterfall directly to the beach",0.9076,0.619,0.0,0.381,positive
beautiful,0.5994,1.0,0.0,0.0,positive
"great view, really nice, beautiful waterfall directly to the beach",0.9076,0.619,0.0,0.381,positive
nice waterfall direct sea cool,0.6249,0.63,0.0,0.37,positive
beautiful,0.5994,1.0,0.0,0.0,positive
waterfall straight to the beach amazed cool,0.7506,0.649,0.0,0.351,positive
Satisfied parking is expensive,0.4215,0.483,0.0,0.517,positive
"good place, please spot photo spots, waterfalls, playgrounds, recommendations",0.6369,0.426,0.0,0.574,positive
"there the water is really fast, cool, nice view",0.6851,0.446,0.0,0.554,positive
nice view relax,0.6908,0.851,0.0,0.149,positive
Beautiful waterfalls fall directly off the north coast of Madura Island,0.5994,0.281,0.0,0.719,positive
good recom,0.4404,0.744,0.0,0.256,positive
nice clean,0.6705,1.0,0.0,0.0,positive
a beautiful look needs the touch of a powerful hand,0.872,0.586,0.0,0.414,positive
nice waterfall beach,0.4215,0.583,0.0,0.417,positive
nice waterfall straight down the sea double view waterfall sea waterfall wide parking area worry about going there by car,0.2023,0.191,0.118,0.691,positive
nice clear water,0.6597,0.844,0.0,0.156,positive
ok take care,0.6597,0.844,0.0,0.156,positive
Good,0.4404,1.0,0.0,0.0,positive
"the waterfall is really nice, the water flows straight to the beach, the color of the waterfall makes you don't want to go home, ready to eat, it's really comfortable to look at, to eat, it's good, you can explore Indonesia, it's beautiful",0.949,0.325,0.022,0.653,positive
Satisfied parking is expensive,0.4215,0.483,0.0,0.517,positive
really cute evening view support,0.7178,0.666,0.0,0.334,positive
good cheap tickets,0.4404,0.592,0.0,0.408,positive
beautiful waterfall right beach with sunset,0.5994,0.438,0.0,0.562,positive
panorama of waterfalls straight to the sea amazed photo fun heart rainy season slippery rocks,0.9062,0.527,0.054,0.418,positive
"it's pretty refreshing, the spots are draining",0.4939,0.348,0.0,0.652,positive
comfortable enjoying the sunset,0.7717,0.77,0.0,0.23,positive
cool abizz there,0.3182,0.535,0.0,0.465,positive
good guess,0.4404,0.744,0.0,0.256,positive
holiday recommendations,0.4019,0.73,0.0,0.27,positive
Good,0.4404,1.0,0.0,0.0,positive
suitable for refreshing lost calm mind due to busy solutions,0.1779,0.301,0.173,0.526,positive
beautiful,0.5994,1.0,0.0,0.0,positive
amazed,0.4939,1.0,0.0,0.0,positive
"the place is pretty okay, the view is okay",0.7184,0.538,0.0,0.462,positive
beautiful view,0.5994,0.796,0.0,0.204,positive
look good eat good,0.7003,0.744,0.0,0.256,positive
the place is strategically beautiful,0.5994,0.494,0.0,0.506,positive
Good,0.4404,1.0,0.0,0.0,positive
quite beautiful,0.6361,0.807,0.0,0.193,positive
beautiful waterfall,0.5994,0.796,0.0,0.204,positive
good work,0.4404,0.744,0.0,0.256,positive
beautiful,0.5994,1.0,0.0,0.0,positive
good dear nurse,0.6705,0.846,0.0,0.154,positive
beautiful beach view,0.5994,0.661,0.0,0.339,positive
happy beautiful atmosphere,0.8225,0.884,0.0,0.116,positive
love nature suitable after rain please be careful,0.7964,0.618,0.0,0.382,positive
nice fun rocks sitting playing water photos,0.7845,0.664,0.0,0.336,positive
good panorama creativity plus beach area plus facilities,0.6705,0.478,0.0,0.522,positive
nice view suitable photo spot,0.4215,0.412,0.0,0.588,positive
nice view,0.4215,0.737,0.0,0.263,positive
really good clean water,0.7328,0.755,0.0,0.245,positive
"it's beautiful, it's comfortable, brother, let's visit, the entrance fee for parking is cheap",0.802,0.375,0.0,0.625,positive
One Madura waterfall is cool looking at a beachside waterfall,0.3182,0.204,0.0,0.796,positive
Good,0.4404,1.0,0.0,0.0,positive
really good clean water,0.7328,0.755,0.0,0.245,positive
unique thing waterfall directly poured into sea beach height about meter easy access with lot of visitors during holiday,0.6808,0.248,0.0,0.752,positive
waterfall straight sea ocean clean trash nice photo photo,0.7506,0.552,0.0,0.448,positive
"the comfortable atmosphere of the city of Sampang takes hours for the wide waterfall, it is recommended by friends in the Sampang area, Maja, take a photo during the day, yes, the standard parking price",0.872,0.26,0.0,0.74,positive
"proud waterfall, sampang community, ketapang community, location of development",0.4767,0.279,0.0,0.721,positive
"Tawan sunset later, the location of the main road is easy to reach, km from the Suramadu Bridge, ready with physical provisions for the road",0.6705,0.228,0.0,0.772,positive
"blue green water is good, the motorbike is still good",0.7003,0.42,0.0,0.58,positive
"good view, able to go up and down the stairs, really explore the location of the north Madura route, it's a very quiet place",0.4404,0.112,0.0,0.888,positive
ok take care,0.6597,0.844,0.0,0.156,positive
unique thing waterfall directly poured into sea beach height about meter easy access with lot of visitors during holiday,0.6808,0.248,0.0,0.752,positive
nice waterfall view,0.4215,0.583,0.0,0.417,positive
madura island tourist attraction waterfall thought madura tourist attraction limestone hills madura beach tourist attraction amazed one of the toro waterfalls,0.9042,0.418,0.0,0.582,positive
culinary fish leeseh great delicious bukber great place,0.9169,0.704,0.0,0.296,positive
nice tour north coast of madura,0.4215,0.359,0.0,0.641,positive
wow,0.5859,1.0,0.0,0.0,positive
touch clean,0.4019,0.73,0.0,0.27,positive
"unique waterfall, flow of water, direct sea, waterfall tour, favors the beach, the value of the waterfall, the location of the highway",0.5267,0.18,0.0,0.82,positive
nanam cool nice photo rain sea trash broken eyes,0.25,0.359,0.218,0.423,positive
unique fun,0.5106,0.767,0.0,0.233,positive
bagus natural waterfall,0.3612,0.556,0.0,0.444,positive
The rare seaside waterfall is easily accessible from the main road,0.34,0.194,0.0,0.806,positive
Good,0.4404,1.0,0.0,0.0,positive
Good,0.4404,1.0,0.0,0.0,positive
Good,0.4404,1.0,0.0,0.0,positive
satisfied steady,0.4215,0.737,0.0,0.263,positive
quite beautiful,0.6361,0.807,0.0,0.193,positive
manage cool place friendly tourism,0.6705,0.647,0.0,0.353,positive
delicious pentol,0.5719,0.787,0.0,0.213,positive
